4.0 deg Wedge with a added 16 deg of isentropic turning,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Alpha [deg],0,,,,5,,,,10,,,,15,,,,20,,
,,M,Po2/Poa,Aa/Ac,,M,Po2/Poa,Aa/Ac,,M,Po2/Poa,Aa/Ac,,M,Po2/Poa,Aa/Ac,,M,Po2/Poa,Aa/Ac
,,1.30246517,0.949115156,0.437577594,,1.484926549,0.940955247,0.473960659,,1.674260055,0.916379117,0.520039931,,1.892459744,0.863756473,0.576786113,,2.163190295,0.768825576,0.64454385
,,1.580684432,0.949253712,0.506344868,,1.737079899,0.941141287,0.55836522,,1.899365761,0.915042198,0.614401663,,2.086394066,0.858716508,0.673421502,,2.318448824,0.759578109,0.73171184
,,1.858903693,0.945894518,0.606513922,,1.989233249,0.938863231,0.675640696,,2.124471468,0.908844037,0.736576674,,2.280328389,0.846348671,0.787615866,,2.473707353,0.742972738,0.825702456
,,2.137122954,0.899889143,0.684288185,,2.241386599,0.908327534,0.772998709,,2.349577174,0.889994932,0.855727826,,2.474262711,0.830063974,0.918392186,,2.628965883,0.723040905,0.929497417
,,2.415342216,0.821034648,0.759232378,,2.49353995,0.848771104,0.866489522,,2.574682881,0.846628387,0.962041034,,2.668197033,0.80007479,1.02977367,,2.784224412,0.701061423,1.043987686
,,2.693561477,0.729508253,0.836093312,,2.7456933,0.775162172,0.961898671,,2.799788587,0.789574516,1.069134834,,2.862131355,0.758193745,1.137209283,,2.939482941,0.67430993,1.143525207
,,2.971780739,0.637445801,0.91600666,,2.99784665,0.697585928,1.061489783,,3.024894294,0.726286846,1.178995113,,3.056065678,0.709754734,1.244654528,,3.094741471,0.642114313,1.236563106
,,3.25,0.551702383,1,,3.25,0.621685608,1.165511702,,3.25,0.661731041,1.292494,,3.25,0.658394247,1.35292421,,3.25,0.606801443,1.327254
,,3.46875,0.44720126,1,,3.46875,0.50392856,1.165511702,,3.46875,0.536388757,1.292494,,3.46875,0.533684004,1.35292421,,3.46875,0.49186369,1.327254
,,3.6875,0.362494296,1,,3.6875,0.408476552,1.165511702,,3.6875,0.434788276,1.292494,,3.6875,0.432595846,1.35292421,,3.6875,0.398696958,1.327254
,,3.90625,0.293832166,1,,3.90625,0.331104658,1.165511702,,3.90625,0.352432527,1.292494,,3.90625,0.350655378,1.35292421,,3.90625,0.323177473,1.327254
,,4.125,0.238175725,1,,4.125,0.268388219,1.165511702,,4.125,0.285676254,1.292494,,4.125,0.284235725,1.35292421,,4.125,0.261962568,1.327254
,,4.34375,0.19306149,1,,4.34375,0.217551262,1.165511702,,4.34375,0.231564671,1.292494,,4.34375,0.230397001,1.35292421,,4.34375,0.212342731,1.327254
,,4.5625,0.156492602,1,,4.5625,0.176343626,1.165511702,,4.5625,0.187702674,1.292494,,4.5625,0.186756179,1.35292421,,4.5625,0.172121673,1.327254
,,4.78125,0.126850438,1,,4.78125,0.142941365,1.165511702,,4.78125,0.152148831,1.292494,,4.78125,0.151381617,1.35292421,,4.78125,0.139519116,1.327254
,,5,0.102822967,1,,5,0.115866019,1.165511702,,5,0.123329445,1.292494,,5,0.122707554,1.35292421,,5,0.113091998,1.327254
,,,,,,,,,,,,,,,,,,,,
2 x 2.75 deg wedge,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Alpha [deg],0,,,,5,,,,10,,,,15,,,,20,,
,,M,Po2/Poa,Aa/Ac,,M,Po2/Poa,Aa/Ac,,M,Po2/Poa,Aa/Ac,,M,Po2/Poa,Aa/Ac,,M,Po2/Poa,Aa/Ac
,,1.5,0.92852441,0.830214665,,1.75,0.907416217,0.939391316,,1.75,0.919618974,0.994423538,,2,0.869240901,1.135649444,,2.2,0.790296793,1.243372446
,,1.75,0.862639686,0.857177204,,1.964285714,0.845361747,0.985071625,,1.964285714,0.881174219,1.072676773,,2.178571429,0.833759605,1.222701338,,2.35,0.764884887,1.338958499
,,2,0.769234372,0.881865521,,2.178571429,0.768021472,1.029181724,,2.178571429,0.818924398,1.143859511,,2.357142857,0.784491968,1.304480007,,2.5,0.728943937,1.42598442
,,2.25,0.665895214,0.90588285,,2.392857143,0.684899045,1.072558267,,2.392857143,0.744930935,1.213212424,,2.535714286,0.727700459,1.383503653,,2.65,0.687043691,1.508438759
,,2.5,0.564750821,0.929620065,,2.607142857,0.602813705,1.11597771,,2.607142857,0.66738914,1.282294169,,2.714285714,0.66782727,1.460934277,,2.8,0.642214256,1.588418176
