COT^-1(COT(5)+(1.1/(2.15*52*SIN(5))),,,,,,,,
,,,,,,,,
,Inlet(2.15),Inlet(1.75),,,,,,
PHI=,6.8834,6.9453,,,,,,
,,,,,,,,
,,,Inlet 2.15,,,,,
,,,MACh,Po2/poO,Inlet,engine,Po2/Poo,m/mc
,,,0.6,0.93,95,105,0.841428571,1
,,,0.65,0.93,95,103,0.85776699,1
,,,0.8,0.935,95,102,0.870833333,1
,,,0.9,0.94,95,100,0.893,1
,,,1,0.95,95,98,0.920918367,1
,,,1.1,0.947,95,96,0.937135417,1
,,,1.2,0.945,95,94,0.955053191,0.989473684
,,,1.3,0.94,95,92,0.970652174,0.968421053
,,,1.4,0.93,95,89,0.992696629,0.936842105
,,,1.5,0.89,95,87,0.97183908,0.915789474
,,,1.6,0.86,94,84,0.962380952,0.893617021
,,,1.7,0.83,93,80,0.964875,0.860215054
,,,1.8,0.78,90,78,0.9,0.866666667
,,,1.9,0.74,86,74,0.86,0.860465116
,,,2,0.7,84,72,0.816666667,0.857142857
,,,,,,,,
,,,,,,,,
,,,Inlet 1.75,,,,,
,,,MACh,Po2/poO,Inlet,engine,Po2/Poo,m/mc
,,,0.6,0.93,78,105,0.690857143,1
,,,0.65,0.93,78,103,0.704271845,1
,,,0.8,0.935,78,102,0.715,1
,,,0.9,0.94,78,100,0.7332,1
,,,1,0.95,78,98,0.756122449,1
,,,1.1,0.947,78,96,0.7694375,1
,,,1.2,0.945,78,94,0.784148936,1
,,,1.3,0.94,78,92,0.796956522,1
,,,1.4,0.93,78,89,0.81505618,1
,,,1.5,0.89,78,87,0.797931034,1
,,,1.6,0.86,78,84,0.798571429,1
,,,1.7,0.83,76,80,0.7885,1
,,,1.8,0.78,74,78,0.74,1
,,,1.9,0.74,72,74,0.72,1
,,,2,0.7,68,72,0.661111111,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
,,,3.35,,,,,
