Month,Day,Hour,rate_gen,solar_kW,demand_kW,solar_excess_kW,solar_to_load_kW,load_after_solar_kW,solar_excess_dc_kW,solar_excess_dc_to_grid_kW,bat_SOC,bat_charge_kW, bat_discharge_kW , bat_to_load_kW ,grid_energy_kW,,SOC_max,100000,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0.047,0.0,4568.2,0,0.0,4568.2,,,15000.0,0.0, -   , -   ,4568.2,,Demand_annual_kWh,45650846.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0.044,0.0,3971.1,0,0.0,3971.1,,,15000.0,0.0, -   , -   ,3971.1,,Grid_energy_annual_kWh,17703350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,0.044,0.0,3753.1,0,0.0,3753.1,,,15000.0,0.0, -   , -   ,3753.1,,Solar_Penetration,0.612201061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3,0.044,0.0,3687.0,0,0.0,3687.0,,,15000.0,0.0, -   , -   ,3687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,0.044,0.0,3671.5,0,0.0,3671.5,,,15000.0,0.0, -   , -   ,3671.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,5,0.044,0.0,3951.0,0,0.0,3951.0,,,15000.0,0.0, -   , -   ,3951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,6,0.044,0.0,5062.9,0,0.0,5062.9,,,15000.0,0.0, -   , -   ,5062.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,7,0.044,0.0,6747.3,0,0.0,6747.3,,,15000.0,0.0, -   , -   ,6747.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,8,0.046,160.8,6521.8,0,154.4,6367.4,,,15000.0,0.0, -   , -   ,6367.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,9,0.048,915.5,5619.7,0,878.9,4740.8,,,15000.0,0.0, -   , -   ,4740.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
